,Aired,Duration,English,Episodes,Genres,Jap,Licensors,Producers,Ranked,Rating,Score,Source,Type
0," Apr 5, 2009 to Jul 4, 2010", 24 min. per ep., Fullmetal Alchemist: Brotherhood, 64,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen", 鋼の錬金術師 FULLMETAL ALCHEMIST,"Funimation,       Aniplex of America ","Aniplex,       Square Enix,       Mainichi Broadcasting System,       Studio Moriken ",  #1, R - 17+ (violence & profanity),9.251 , Manga,TV
1," Aug 26, 2016", 1 hr. 46 min., Your Name., 1,"Romance, Supernatural, School, Drama", 君の名は。,"Funimation,       NYAV Post ","Kadokawa Shoten,       Toho,       Sound Team Don Juan,       Lawson HMV Entertainment,       Amuse,       East Japan Marketing & Communications ",  #2, PG-13 - Teens 13 or older,9.161 , Original,Movie
3," Apr 6, 2011 to Sep 14, 2011", 24 min. per ep., Steins;Gate, 24,"Thriller, Sci-Fi", STEINS;GATE,Funimation ,"Frontier Works,       Media Factory,       Movic,       AT-X,       Kadokawa Pictures Japan,       Nitroplus ",  #4, PG-13 - Teens 13 or older,9.141 , Visual novel,TV
4," Oct 2, 2011 to Sep 24, 2014", 23 min. per ep., Hunter x Hunter, 148,"Action, Adventure, Fantasy, Shounen, Super Power", HUNTER×HUNTER（ハンター×ハンター）,Viz Media ,"VAP,       Nippon Television Network,       Shueisha ",  #5, PG-13 - Teens 13 or older,9.111 , Manga,TV
5," Jan 8, 1988 to Mar 17, 1997", 26 min. per ep., Legend of the Galactic Heroes, 110,"Military, Sci-Fi, Space, Drama", 銀河英雄伝説,Sentai Filmworks ,Kitty Films ,  #6, R - 17+ (violence & profanity),9.101 , Novel,OVA
6," Apr 4, 2011 to Mar 26, 2012", 24 min. per ep., Gintama Season 2, 51,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen", 銀魂',"    None found, add some ","TV Tokyo,       Aniplex,       Dentsu,       Trinity Sound,       Miracle Robo,       Studio Jack,       Shueisha ",  #7, PG-13 - Teens 13 or older,9.101 , Manga,TV
7," Oct 14, 2017 to Mar 31, 2018", 25 min. per ep., March Comes In Like A Lion 2nd Season, 22,"Drama, Game, Seinen, Slice of Life", 3月のライオン 第2シリーズ,Aniplex of America ,"Aniplex,       Dentsu,       NHK,       Hakusensha,       Asmik Ace,       Toy's Factory ",  #8, PG-13 - Teens 13 or older,9.061 , Manga,TV
8," Oct 4, 2012 to Mar 28, 2013", 24 min. per ep., Gintama: Enchousen, 13,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen", 銀魂' 延長戦,"    None found, add some ","TV Tokyo,       Aniplex,       Dentsu,       Shueisha,       Miracle Bus ",  #9, PG-13 - Teens 13 or older,9.061 , Manga,TV
9," Sep 17, 2016", 2 hr. 10 min., A Silent Voice, 1,"Drama, School, Shounen", 聲の形,NYAV Post ,"Shochiku,       Pony Canyon,       Kodansha,       ABC Animation,       Quaras ",  #10, PG-13 - Teens 13 or older,9.031 , Manga,Movie
10," Jul 6, 2013", 1 hr. 50 min.,nan, 1,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen", 劇場版 銀魂 完結篇 万事屋よ永遠なれ,"    None found, add some ","TV Tokyo,       Aniplex,       Dentsu,       Bandai,       Warner Bros.,       Shueisha ",  #11, PG-13 - Teens 13 or older,9.021 , Manga,Movie
11," Oct 3, 2008 to Mar 27, 2009", 24 min. per ep., Clannad ~After Story~, 24,"Slice of Life, Comedy, Supernatural, Drama, Romance", CLANNAD〜AFTER STORY〜 クラナド アフターストーリー,Sentai Filmworks ,"Pony Canyon,       TBS,       Rakuonsha,       Animation Do ",  #12, PG-13 - Teens 13 or older,9.001 , Visual novel,TV
12," Apr 4, 2006 to Mar 25, 2010", 24 min. per ep., Gintama, 201,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen", 銀魂,"Sentai Filmworks,       Crunchyroll ","TV Tokyo,       Aniplex,       Dentsu,       Trinity Sound,       Audio Highs,       Miracle Robo,       Shueisha ",  #13, PG-13 - Teens 13 or older,9.001 , Manga,TV
13," Jan 9, 2017 to Mar 27, 2017", 24 min. per ep., Gintama Season 5, 12,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen", 銀魂。,"    None found, add some ","TV Tokyo,       Aniplex,       Dentsu,       Shueisha ",  #14, PG-13 - Teens 13 or older,9.001 , Manga,TV
14," Aug 12, 2017 to Aug 13, 2017", 22 min. per ep., Owarimonogatari Second Season, 7,"Comedy, Mystery, Supernatural, Vampire", 終物語,Aniplex of America ,"Aniplex,       Kodansha ",  #15, R - 17+ (violence & profanity),9.001 , Light novel,TV
15," Oct 8, 2016 to Dec 10, 2016", 24 min. per ep., Haikyu!! 3rd Season, 10,"Comedy, Sports, Drama, School, Shounen", ハイキュー!! 烏野高校 VS 白鳥沢学園高校,Sentai Filmworks ,"TOHO animation,       Shueisha ",  #16, PG-13 - Teens 13 or older,8.981 , Manga,TV
16," Apr 6, 2008 to Sep 28, 2008", 24 min. per ep., Code Geass: Lelouch of the Rebellion R2, 25,"Action, Military, Sci-Fi, Super Power, Drama, Mecha", コードギアス 反逆のルルーシュ 続編,"Funimation,       Bandai Entertainment ","Bandai Visual,       Mainichi Broadcasting System,       Bandai,       Bandai Namco Entertainment,       Hakuhodo DY Media Partners ",  #17, R - 17+ (violence & profanity),8.941 , Original,TV
17," Jul 9, 2018 to Oct 8, 2018", 24 min. per ep., Gintama.: Silver Soul Arc - Second Half War, 14,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen", 銀魂. 銀ノ魂篇 後半戦,"    None found, add some ","    None found, add some ",  #18, PG-13 - Teens 13 or older,8.941 , Manga,TV
18," Jul 20, 2001", 2 hr. 5 min., Spirited Away, 1,"Adventure, Supernatural, Drama", 千と千尋の神隠し,"Walt Disney Studios,       GKIDS ",Toho ,  #19, PG - Children,8.911 , Original,Movie
19," Oct 6, 2018 to ?", Unknown,nan, 39,"Action, Adventure, Shounen", ジョジョの奇妙な冒険 黄金の風,Viz Media ,"Warner Bros.,       Shueisha ",  #20, R - 17+ (violence & profanity),8.901 , Manga,TV
20," Jul 7, 2017 to Sep 29, 2017", 25 min. per ep., Made in Abyss, 13,"Sci-Fi, Adventure, Mystery, Drama, Fantasy", メイドインアビス,Sentai Filmworks ,"Media Factory,       AT-X,       Takeshobo,       Sony Music Communications,       Kadokawa Media House,       Cygames,       Kanetsu Co., LTD. ",  #21, R - 17+ (violence & profanity),8.901 , Web manga,TV
21," Oct 4, 2015 to Mar 27, 2016", 24 min. per ep., Haikyu!! 2nd Season, 25,"Comedy, Sports, Drama, School, Shounen", ハイキュー!! セカンドシーズン,Sentai Filmworks ,"TOHO animation,       Shueisha ",  #22, PG-13 - Teens 13 or older,8.871 , Manga,TV
22," Oct 10, 2014 to Mar 20, 2015", 22 min. per ep., Your Lie in April, 22,"Drama, Music, Romance, School, Shounen", 四月は君の嘘,Aniplex of America ,"Aniplex,       Dentsu,       Kodansha,       Fuji TV,       Kyoraku Industrial Holdings ",  #23, PG-13 - Teens 13 or older,8.871 , Manga,TV
23," Jan 6, 2017", 1 hr. 23 min.,nan, 1,"Action, Mystery, Supernatural, Vampire", 傷物語〈Ⅲ冷血篇〉,"    None found, add some ","Aniplex,       Kodansha ",  #24, R - 17+ (violence & profanity),8.861 , Light novel,Movie
24," Jan 7, 2017 to Mar 25, 2017", 24 min. per ep., Descending Stories: Showa Genroku Rakugo Shinju, 12,"Drama, Historical, Josei", 昭和元禄落語心中～助六再び篇～,"    None found, add some ","Mainichi Broadcasting System,       Kodansha,       DAX Production,       King Records ",  #25, PG-13 - Teens 13 or older,8.851 , Manga,TV
25," Oct 19, 2014 to Dec 21, 2014", 23 min. per ep.,nan, 10,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural", 蟲師 続章,Aniplex of America ,"Aniplex,       Kodansha,       Delfi Sound ",  #26, PG-13 - Teens 13 or older,8.821 , Manga,TV
26," Apr 3, 1998 to Apr 24, 1999", 24 min. per ep., Cowboy Bebop, 26,"Action, Adventure, Comedy, Drama, Sci-Fi, Space", カウボーイビバップ,"Funimation,       Bandai Entertainment ",Bandai Visual ,  #27, R - 17+ (violence & profanity),8.811 , Original,TV
27," Jan 8, 2018 to Mar 26, 2018", 24 min. per ep.,nan, 12,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen", éŠ€é­‚. éŠ€ãƒé­‚ç¯‡,"    None found, add some ","TV Tokyo,       Aniplex,       Dentsu,       Shueisha ",  #28, PG-13 - Teens 13 or older,8.811 , Manga,TV
28," Oct 4, 2000 to Mar 27, 2002", 23 min. per ep., Fighting Spirit, 75,"Comedy, Sports, Drama, Shounen", はじめの一歩 THE FIGHTING!,Geneon Entertainment USA ,VAP ,  #29, PG-13 - Teens 13 or older,8.791 , Manga,TV
29," Jul 12, 1997", 2 hr. 15 min., Princess Mononoke, 1,"Action, Adventure, Fantasy", もののけ姫,GKIDS ,"Tokuma Shoten,       Nippon Television Network ",  #30, PG-13 - Teens 13 or older,8.791 , Original,Movie
30," Oct 6, 2006 to Jul 29, 2007", 24 min. per ep., Code Geass: Lelouch of the Rebellion, 25,"Action, Military, Sci-Fi, Super Power, Drama, Mecha, School", コードギアス 反逆のルルーシュ,"Funimation,       Bandai Entertainment ","Bandai Visual,       Mainichi Broadcasting System,       Bandai,       Sony Music Entertainment,       Bandai Namco Entertainment,       Hakuhodo DY Media Partners ",  #31, R - 17+ (violence & profanity),8.781 , Original,TV
31," Feb 20, 1999 to Sep 22, 1999", 30 min. per ep., Samurai X: Trust and Betrayal, 4,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen", るろうに剣心―明治剣客浪漫譚―追憶編,"ADV Films,       Aniplex of America ",Aniplex ,  #32, R - 17+ (violence & profanity),8.781 , Manga,OVA
32," Jul 7, 2013 to Dec 29, 2013", 24 min. per ep., Monogatari Series: Second Season, 26,"Mystery, Comedy, Supernatural, Romance, Vampire", 〈物語〉シリーズ セカンドシーズン,Aniplex of America ,"Aniplex,       Kodansha,       Cyclone Graphics inc ",  #33, R - 17+ (violence & profanity),8.771 , Light novel,TV
33," Apr 7, 2018 to Sep 29, 2018", 23 min. per ep., My Hero Academia 3, 25,"Action, Comedy, School, Shounen, Super Power", 僕のヒーローアカデミア 3rdシーズン,Funimation ,"TOHO animation,       Shueisha ",  #34, PG-13 - Teens 13 or older,8.761 , Manga,TV
34," Apr 5, 2014 to Jun 21, 2014", 24 min. per ep., MUSHI-SHI -Next Passage-, 10,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen", 蟲師 続章,Aniplex of America ,"Aniplex,       Kodansha,       Delfi Sound ",  #35, PG-13 - Teens 13 or older,8.761 , Manga,TV
35," Jul 21, 2012", 1 hr. 57 min., Wolf Children, 1,"Fantasy, Slice of Life", おおかみこどもの雨と雪,Funimation ,"Madhouse,       VAP,       Dentsu,       Yomiuri Telecasting,       Kadokawa Shoten,       Toho,       Hiroshima Television ",  #36, PG - Children,8.761 , Original,Movie
36," Apr 12, 2018 to Sep 27, 2018", 23 min. per ep.,nan, 23,"Sci-Fi, Thriller", シュタインズ・ゲート ゼロ,Funimation ,"Frontier Works,       Media Factory,       Kadokawa Shoten,       Movic ",  #37, PG-13 - Teens 13 or older,8.751 , Visual novel,TV
37," Apr 1, 2017 to Sep 30, 2017", 23 min. per ep., My Hero Academia 2, 25,"Action, Comedy, Super Power, School, Shounen", 僕のヒーローアカデミア 2ndシーズン,Funimation ,"Dentsu,       Yomiuri Telecasting,       Movic,       Sony Music Entertainment,       TOHO animation,       Shueisha ",  #38, PG-13 - Teens 13 or older,8.741 , Manga,TV
38," Oct 23, 2005 to Jun 19, 2006", 25 min. per ep., Mushi-Shi, 26,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen", 蟲師,Funimation ,"Avex Entertainment,       Marvelous,       SKY Perfect Well Think,       Delfi Sound ",  #39, PG-13 - Teens 13 or older,8.741 , Manga,TV
39," Jun 30, 1999 to Sep 17, 2000", 25 min. per ep., Great Teacher Onizuka, 43,"Comedy, Drama, School, Shounen, Slice of Life", グレート・ティーチャー・オニヅカ,"Discotek Media,       TOKYOPOP ","Aniplex,       Fuji TV ",  #40, R - 17+ (violence & profanity),8.731 , Manga,TV
40," Nov 20, 2004", 1 hr. 59 min., Howl's Moving Castle, 1,"Adventure, Drama, Fantasy, Romance", ハウルの動く城,Walt Disney Studios ,"d-rights,       Tokuma Shoten ",  #41, G - All Ages,8.731 , Novel,Movie
41," Apr 12, 2017 to Jun 21, 2017", 23 min. per ep., Natsume's Book of Friends Season 6, 11,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural", 夏目友人帳 陸,"    None found, add some ","TV Tokyo,       Aniplex,       Nihon Ad Systems,       Hakusensha ",  #42, PG-13 - Teens 13 or older,8.731 , Manga,TV
42," Apr 1, 2007 to Sep 30, 2007", 24 min. per ep., Gurren Lagann, 27,"Action, Adventure, Comedy, Mecha, Sci-Fi", 天元突破グレンラガン,"Bandai Entertainment,       Aniplex of America ","TV Tokyo,       Aniplex,       Dentsu,       Konami,       Half H.P Studio,       Bandai ",  #43, PG-13 - Teens 13 or older,8.731 , Original,TV
43," Jan 7, 2009 to Jul 1, 2009", 23 min. per ep., Fighting Spirit: New Challenger, 26,"Comedy, Sports, Drama, Shounen", はじめの一歩 新シリーズ,"    None found, add some ","VAP,       Kodansha,       Nippon Television Network ",  #44, PG-13 - Teens 13 or older,8.721 , Manga,TV
44," Jan 3, 2012 to Mar 27, 2012", 24 min. per ep., Natsume's Book of Friends Season 4, 13,"Slice of Life, Supernatural, Drama, Fantasy, Shoujo", 夏目友人帳 肆,"NIS America, Inc. ","TV Tokyo,       Aniplex,       Nihon Ad Systems,       Hakusensha,       Sony Music Entertainment ",  #45, PG-13 - Teens 13 or older,8.721 , Manga,TV
45," Feb 6, 2010", 2 hr. 42 min., The Disappearance of Haruhi Suzumiya, 1,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural", 涼宮ハルヒの消失,"Funimation,       Bandai Entertainment ","Kadokawa Shoten,       Animation Do ",  #46, PG-13 - Teens 13 or older,8.721 , Light novel,Movie
46," Oct 5, 2015 to Dec 21, 2015", 24 min. per ep., One Punch Man, 12,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural, Seinen", ワンパンマン,Viz Media ,"TV Tokyo,       Bandai Visual,       Lantis,       Asatsu DK,       Banpresto,       Good Smile Company,       Shueisha,       East Japan Marketing & Communications ",  #47, R - 17+ (violence & profanity),8.711 , Web manga,TV
47," May 16, 2015", 47 min.,nan, 1,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural", 蟲師 続章: 鈴の雫,"    None found, add some ","Aniplex,       Kodansha,       Delfi Sound ",  #48, PG-13 - Teens 13 or older,8.701 , Manga,Movie
48," Apr 7, 2004 to Sep 28, 2005", 24 min. per ep., Monster, 74,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller", モンスター,Viz Media ,"VAP,       Shogakukan Productions,       Nippon Television Network ",  #49, R+ - Mild Nudity,8.691 , Manga,TV
49," Aug 19, 2016", 1 hr. 4 min., Kizumonogatari Part 2: Nekketsu, 1,"Action, Mystery, Supernatural, Vampire", 傷物語〈Ⅱ熱血篇〉,Aniplex of America ,"Aniplex,       Kodansha ",  #50, R - 17+ (violence & profanity),8.681 , Light novel,Movie
50," Oct 4, 2006 to Jun 27, 2007", 23 min. per ep., Death Note, 37,"Mystery, Police, Psychological, Supernatural, Thriller, Shounen", デスノート,Viz Media ,"VAP,       Konami,       Ashi Production,       Nippon Television Network,       Shueisha ",  #51, R - 17+ (violence & profanity),8.671 , Manga,TV
51," Jul 15, 2017", 1 hr. 46 min.,nan, 1,"Game, Supernatural, Drama, Romance, Fantasy", ノーゲーム・ノーライフ ゼロ,Sentai Filmworks ,"Frontier Works,       Movic,       AT-X,       Kadokawa ",  #52, PG-13 - Teens 13 or older,8.671 , Light novel,Movie
53," Oct 6, 2012 to Mar 30, 2013", 24 min. per ep., Bakuman., 25,"Comedy, Drama, Romance, Shounen", バクマン。,"    None found, add some ","NHK,       Shueisha ",  #54, PG-13 - Teens 13 or older,8.661 , Manga,TV
54," Oct 6, 2013 to Mar 29, 2014", 22 min. per ep., Hajime No Ippo: The Fighting!, 25,"Comedy, Sports, Drama, Shounen", はじめの一歩 Rising,"    None found, add some ","VAP,       Kodansha,       Nippon Television Network ",  #55, PG-13 - Teens 13 or older,8.661 , Manga,TV
55," Jul 23, 2018 to ?", 23 min., Attack on Titan Season 3, Unknown,"Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power", 進撃の巨人 Season 3,Funimation ,Kodansha ,  #56, R - 17+ (violence & profanity),8.661 , Manga,TV
56," Jan 8, 2016 to Jul 1, 2016", 23 min. per ep., Assassination Classroom Second Season, 25,"Action, Comedy, School, Shounen", 暗殺教室　第２期,Funimation ,"Dentsu,       Studio Hibari,       Fuji TV,       DAX Production,       Avex Pictures,       Shueisha,       Kansai Telecasting ",  #57, PG-13 - Teens 13 or older,8.651 , Manga,TV
57," Apr 8, 2012 to Jun 24, 2012", 24 min. per ep., Fate/Zero Season 2, 12,"Action, Supernatural, Magic, Fantasy", フェイト/ゼロ 2ndシーズン,Aniplex of America ,"Aniplex,       Nitroplus,       Seikaisha,       Notes ",  #58, R - 17+ (violence & profanity),8.651 , Novel,TV
58," Apr 6, 2014 to Sep 21, 2014", 24 min. per ep., Haikyu!!, 25,"Comedy, Drama, School, Shounen, Sports", ハイキュー!!,Sentai Filmworks ,"Mainichi Broadcasting System,       TOHO animation,       Shueisha ",  #59, PG-13 - Teens 13 or older,8.651 , Manga,TV
59," Apr 23, 2010 to Jul 2, 2010", 23 min. per ep., The Tatami Galaxy, 11,"Mystery, Comedy, Psychological, Romance", 四畳半神話大系,Funimation ,"Dentsu,       Kadokawa Shoten,       Fuji TV,       Toho,       Asmik Ace,       Tohokushinsha Film Corporation,       Sony Music Entertainment,       Fuji Pacific Music Publishing ",  #60, R - 17+ (violence & profanity),8.651 , Novel,TV
60," Apr 2, 2016 to Dec 24, 2016", 23 min. per ep., JoJo's Bizarre Adventure: Diamond is Unbreakable, 39,"Action, Adventure, Comedy, Supernatural, Drama, Shounen", ジョジョの奇妙な冒険 ダイヤモンドは砕けない,Viz Media ,"Warner Bros.,       KlockWorx,       Medicos Entertainment,       Shueisha ",  #61, R - 17+ (violence & profanity),8.641 , Manga,TV
61," Oct 5, 2016 to Dec 21, 2016", 23 min. per ep., Natsume's Book of Friends Season 5, 11,"Slice of Life, Supernatural, Drama, Fantasy, Shoujo", 夏目友人帳 伍,"    None found, add some ","TV Tokyo,       Aniplex,       Nihon Ad Systems,       Hakusensha ",  #62, PG-13 - Teens 13 or older,8.641 , Manga,TV
62," Jul 5, 2011 to Sep 27, 2011", 24 min. per ep., Natsume's Book of Friends Season 3, 13,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural", 夏目友人帳 参,"NIS America, Inc. ","Aniplex,       Sakura Create ",  #63, PG-13 - Teens 13 or older,8.641 , Manga,TV
63," Apr 11, 2014 to Jun 20, 2014", 23 min. per ep., Ping Pong the Animation, 11,"Sports, Psychological, Drama, Seinen", ピンポン THE ANIMATION,Funimation ,"Aniplex,       Dentsu,       Fuji TV,       Kyoraku Industrial Holdings ",  #64, PG-13 - Teens 13 or older,8.641 , Manga,TV
64," Jan 4, 2014", 45 min., The Shadow that Devours the Sun, 1,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen", 蟲師 特別篇「日蝕む翳」,"    None found, add some ","Aniplex,       Kodansha,       Delfi Sound ",  #65, PG-13 - Teens 13 or older,8.631 , Manga,Special
65," Oct 13, 1980 to Aug 31, 1981", 24 min. per ep., Rocky Joe 2, 47,"Action, Drama, Shounen, Slice of Life, Sports", あしたのジョー２,"    None found, add some ",Annapuru ,  #66, PG-13 - Teens 13 or older,8.621 , Manga,TV
66," Aug 16, 2008", 1 hr. 54 min., the Garden of sinners Chapter 5: Paradox Paradigm, 1,"Action, Mystery, Supernatural, Drama, Romance, Thriller", 劇場版 空の境界 the Garden of sinners 第五章『矛盾螺旋』,Aniplex of America ,Notes ,  #67, R - 17+ (violence & profanity),8.621 , Light novel,Movie
67," Jan 9, 2016 to Apr 2, 2016", 26 min. per ep., Showa Genroku Rakugo Shinju, 13,"Drama, Historical, Josei", 昭和元禄落語心中,"    None found, add some ","Starchild Records,       Mainichi Broadcasting System,       Kodansha,       DAX Production ",  #68, PG-13 - Teens 13 or older,8.621 , Manga,TV
68," Apr 22, 2009", 2 hr. 5 min., Gurren Lagann The Movie: The Lights in the Sky are Stars, 1,"Action, Mecha, Sci-Fi, Space, Super Power", 天元突破グレンラガン 螺巌篇,Aniplex of America ,Aniplex ,  #69, R+ - Mild Nudity,8.621 , Original,Movie
69," Jan 6, 2009 to Mar 31, 2009", 24 min. per ep., Natsume's Book of Friends Season 2, 13,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural", 続 夏目友人帳,"NIS America, Inc. ","Aniplex,       Nihon Ad Systems ",  #70, PG-13 - Teens 13 or older,8.621 , Manga,TV
70," Jan 2, 2018 to Mar 27, 2018", 23 min. per ep., A Place Further Than The Universe, 13,"Slice of Life, Adventure", 宇宙よりも遠い場所,"    None found, add some ","Media Factory,       Movic,       AT-X,       Sony Music Communications,       Docomo Anime Store,       Kadokawa Media House,       Kadokawa,       NewGin,       Crunchyroll SC Anime Fund ",  #71, PG-13 - Teens 13 or older,8.611 , Original,TV
71," Oct 7, 2017 to Mar 31, 2018", 7 min. per ep., Pingu in the City, 26,"Comedy, Kids, Slice of Life", ピングー in ザ・シティ,"    None found, add some ","NHK,       NHK Enterprises,       Mattel Creations ",  #72, G - All Ages,8.591 , Other,TV
72," Apr 7, 2010 to Sep 29, 2010", 22 min. per ep., Rainbow, 26,"Drama, Historical, Seinen, Thriller", RAINBOW 二舎六房の七人,Funimation ,"VAP,       Nippon Television Network ",  #73, R - 17+ (violence & profanity),8.591 , Manga,TV
73," Jan 11, 2018 to Apr 5, 2018", 23 min. per ep., Violet Evergarden, 13,"Fantasy, Drama, Slice of Life", ヴァイオレット・エヴァーガーデン,"    None found, add some ","Lantis,       Pony Canyon,       Rakuonsha,       ABC Animation ",  #74, PG-13 - Teens 13 or older,8.591 , Light novel,TV
74," Jan 8, 2008 to Apr 1, 2008", 24 min. per ep., Aria The Origination, 13,"Fantasy, Sci-Fi, Shounen, Slice of Life", ARIA The ORIGINATION,Nozomi Entertainment ,"TV Tokyo,       Shochiku,       Mag Garden ",  #75, G - All Ages,8.581 , Manga,TV
75," Oct 2, 2017 to Dec 25, 2017", 23 min. per ep., Gintama.: Slip Arc, 13,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen", éŠ€é­‚ã€‚ãƒãƒ­ãƒªç·¨,"    None found, add some ","TV Tokyo,       Aniplex,       Dentsu,       Shueisha ",  #76, PG-13 - Teens 13 or older,8.571 , Manga,TV
77," Apr 24, 2010", 1 hr. 35 min., Gintama: The Movie, 1,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen", 劇場版 銀魂 新訳紅桜篇,Sentai Filmworks ,"TV Tokyo,       Aniplex,       Dentsu,       Bandai,       Warner Bros.,       Shueisha ",  #78, R - 17+ (violence & profanity),8.561 , Manga,Movie
78," Jan 10, 2015 to Jun 20, 2015", 23 min. per ep., JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt, 24,"Action, Adventure, Drama, Shounen, Supernatural", ジョジョの奇妙な冒険 スターダストクルセイダース,Viz Media ,"Yomiko Advertising,       Warner Bros.,       Kamikaze Douga,       KlockWorx,       Shueisha ",  #79, R - 17+ (violence & profanity),8.561 , Manga,TV
80," Jan 8, 2016 to Mar 25, 2016", 23 min. per ep., ERASED, 12,"Mystery, Psychological, Supernatural, Seinen", 僕だけがいない街,Aniplex of America ,"Aniplex,       Dentsu,       Kadokawa Shoten,       Fuji TV,       DAX Production,       Kyoraku Industrial Holdings,       Kansai Telecasting,       Lawson ",  #81, R - 17+ (violence & profanity),8.551 , Manga,TV
81," Jan 1, 2004 to Jan 8, 2005", 25 min. per ep., Ghost in the Shell: Stand Alone Complex 2nd GIG, 26,"Action, Military, Sci-Fi, Mystery, Police, Mecha, Seinen", 攻殻機動隊 S.A.C. 2nd GIG,"Bandai Entertainment,       Manga Entertainment ","Bandai Visual,       Dentsu,       Victor Entertainment,       Tokuma Shoten ",  #82, R - 17+ (violence & profanity),8.551 , Manga,TV
82," Apr 16, 1988", 1 hr. 28 min., Grave of the Fireflies, 1,"Drama, Historical", 火垂るの墓,"ADV Films,       Central Park Media,       Sentai Filmworks ","    None found, add some ",  #83, PG-13 - Teens 13 or older,8.551 , Novel,Movie
83," Apr 1, 2012 to Mar 22, 2014", 24 min. per ep., Space Brothers, 99,"Comedy, Sci-Fi, Seinen, Slice of Life, Space", 宇宙兄弟,Sentai Filmworks ,"Aniplex,       Dentsu,       YTV,       Trinity Sound ",  #84, PG-13 - Teens 13 or older,8.551 , Manga,TV
84," Apr 15, 2011 to Jun 24, 2011", 22 min. per ep., anohana: The Flower We Saw That Day, 11,"Slice of Life, Supernatural, Drama", あの日見た花の名前を僕達はまだ知らない。,"NIS America, Inc.,       Aniplex of America ","Aniplex,       Dentsu,       Fuji TV,       Fuji Pacific Music Publishing ",  #85, PG-13 - Teens 13 or older,8.541 , Original,TV
85," Oct 16, 1993 to Mar 23, 1996", 23 min. per ep., Slam Dunk, 101,"Comedy, Sports, Drama, School, Shounen", スラムダンク,"Flatiron Film Company,       Geneon Entertainment USA ","TV Asahi,       Animax ",  #86, PG-13 - Teens 13 or older,8.541 , Manga,TV
86," Sep 17, 2011", 45 min.,nan, 1,"Drama, Romance, Shoujo, Supernatural", 蛍火の杜へ,"    None found, add some ",Aniplex ,  #87, G - All Ages,8.531 , Manga,Movie
87," Aug 20, 2015 to Aug 19, 2016", 30 min. per ep.,nan, 4,"Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo", 神様はじめました～過去編～,"    None found, add some ","    None found, add some ",  #88, PG-13 - Teens 13 or older,8.531 , Manga,OVA
88," Jan 11, 2015 to Jun 30, 2015", 24 min. per ep., Kuroko's Basketball 3, 25,"Comedy, Sports, School, Shounen", 黒子のバスケ,"    None found, add some ","Bandai Visual,       Lantis,       Nihon Ad Systems,       Banpresto,       Shueisha,       BS11 ",  #89, PG-13 - Teens 13 or older,8.531 , Manga,TV
89," Jan 10, 2009 to Jun 27, 2009", 24 min. per ep.,nan, 25,"Comedy, Drama, Romance, Shounen, Sports", メジャー,"    None found, add some ",NHK ,  #90, PG-13 - Teens 13 or older,8.531 , Manga,TV
90," Oct 20, 1999 to ?", 24 min., One Piece, Unknown,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen", ONE PIECE,"Funimation,       4Kids Entertainment ","Fuji TV,       TAP,       Shueisha ",  #91, PG-13 - Teens 13 or older,8.531 , Manga,TV
91," Apr 4, 2015 to Sep 26, 2015", 25 min. per ep., Food Wars! Shokugeki no Soma, 24,"Ecchi, School, Shounen", 食戟のソーマ,Sentai Filmworks ,"Dentsu,       Frontier Works,       Mainichi Broadcasting System,       Magic Capsule,       Warner Bros.,       KlockWorx,       Showgate,       Shueisha,       I Will ",  #92, PG-13 - Teens 13 or older,8.531 , Manga,TV
